external_gene_name	description	ensembl_gene_id	chromosome_name	start_position	end_position	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	ENSG00000242335	CHR_HSCHR6_MHC_SSTO_CTG1	31938304	31944738	1	306.4121769180276	-1.0493436094137074	0.16293992453012332	-6.440064412940803	1.1942280939354586e-10	2.5301100125515697e-7
CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	ENSG00000243570	CHR_HSCHR6_MHC_MCF_CTG1	32022093	32028527	1	306.4138539814462	-1.0493728740941233	0.16294173918874727	-6.440172292984784	1.1933795538699334e-10	2.5301100125515697e-7
AC126768.2	novel transcript	ENSG00000248994	5	1933863	1959176	1	52.163816280730316	-2.064687641225744	0.3202499259975649	-6.447113562303972	1.1400036988714147e-10	2.5301100125515697e-7
GYPC	glycophorin C (Gerbich blood group) [Source:HGNC Symbol;Acc:HGNC:4704]	ENSG00000136732	2	126655933	126696670	1	61.80503691387929	-1.8106541468436717	0.2947798725581798	-6.142394089292201	8.128687657302592e-10	1.399251971608925e-6
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	ENSG00000154736	21	26917912	26966513	-1	2632.9386828114407	-0.559710833506576	0.09087422881602236	-6.159181109968236	7.312206387641359e-10	1.399251971608925e-6
IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	ENSG00000185436	1	24154157	24187959	-1	129.28552154897525	-1.1256453003254072	0.1831656344907055	-6.145504878441193	7.970956317630945e-10	1.399251971608925e-6
OGFRL1	opioid growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21378]	ENSG00000119900	6	71288803	71308950	1	4865.52176276617	0.6039204347174781	0.0993203887700094	6.080528300346694	1.1978720662247026e-9	1.9406936734094563e-6
CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	ENSG00000140945	16	82626803	83800640	1	501.91770658388253	0.9386155588013959	0.16400765085800523	5.722998615558684	1.0466011841096432e-8	1.6014161007082107e-5
CHRNA7	cholinergic receptor nicotinic alpha 7 subunit [Source:HGNC Symbol;Acc:HGNC:1960]	ENSG00000175344	15	31923438	32173018	1	1157.5257953988128	-0.44948758818885143	0.07918307983846269	-5.676561067160153	1.3742950833787149e-8	1.9921492203377138e-5
TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	ENSG00000137203	6	10393186	10419659	-1	705.9319601823508	0.6482769253006428	0.11612703917593405	5.582480444700691	2.3711227772761888e-8	3.243872701569051e-5
AC126768.1	novel transcript	ENSG00000248597	5	1963609	1967154	-1	47.23727957140117	-1.9868382390082084	0.3563748292079151	-5.575136278351055	2.4733616561233775e-8	3.243872701569051e-5
ALS2CL	ALS2 C-terminal like [Source:HGNC Symbol;Acc:HGNC:20605]	ENSG00000178038	3	46668997	46693704	-1	239.73323341763387	0.9387037924174999	0.17078817597240226	5.496304337656171	3.87832962066015e-8	4.855316109646448e-5
STRA6	stimulated by retinoic acid 6 [Source:HGNC Symbol;Acc:HGNC:30650]	ENSG00000137868	15	74179466	74212267	-1	154.09234477871595	-1.1885050477344579	0.21889053585721208	-5.429677638094642	5.645593436892739e-8	6.760475410386949e-5
CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	ENSG00000118971	12	4273772	4305350	1	158.5665117504068	-2.1118502998391406	0.3897383711527092	-5.418635823804131	6.005550593021825e-8	6.891869768041961e-5
ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	ENSG00000198542	13	101452593	101720856	1	225.04200632156733	-1.0552132341980598	0.19623487989028301	-5.377297016656981	7.56123820253611e-8	8.330064902969982e-5
FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	ENSG00000236271	CHR_HSCHR6_MHC_MANN_CTG1	30772367	30787391	-1	122.97607306274543	-1.5991778289943666	0.3000852626284374	-5.329078192601723	9.871249418374358e-8	1.0456690441571792e-4
TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	ENSG00000186891	1	1203508	1206691	-1	49.880815195642946	-1.6639579380846212	0.313362190438131	-5.310015020504353	1.0961620050737021e-7	1.1181664423607371e-4
LINC01224	long intergenic non-protein coding RNA 1224 [Source:HGNC Symbol;Acc:HGNC:49676]	ENSG00000269416	19	23399233	23416075	-1	1147.151037046223	0.521380979910864	0.10003062425583474	5.2122135974818935	1.8660051797306098e-7	1.8354826664335877e-4
NOTCH3	notch 3 [Source:HGNC Symbol;Acc:HGNC:7883]	ENSG00000074181	19	15159038	15200981	-1	463.8762197498438	-0.8312951657148832	0.16115608161337336	-5.1583232689240255	2.491711454065379e-7	2.3664385126851263e-4
DSC3	desmocollin 3 [Source:HGNC Symbol;Acc:HGNC:3037]	ENSG00000134762	18	30990008	31042815	-1	184.4088660011374	0.8786579535087368	0.17084451009075427	5.143027148147664	2.7034653781267387e-7	2.4036807244194074e-4
AC020978.5	novel transcript, antisense to NFATC3	ENSG00000262160	16	68225969	68229145	-1	25.162702202440837	21.853277351337212	4.249223020836479	5.142887827769345	2.7054717325176684e-7	2.4036807244194074e-4
IRX4	iroquois homeobox 4 [Source:HGNC Symbol;Acc:HGNC:6129]	ENSG00000113430	5	1877413	1887236	-1	1575.3748559510373	-0.6744579040011042	0.13275161980647926	-5.080600183894597	3.762442462849322e-7	3.1401572821756373e-4
TENM2	teneurin transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:29943]	ENSG00000145934	5	167284799	168264157	1	1143.9161737470477	-0.8966286137798525	0.176356082512341	-5.084194437790987	3.6918959053539617e-7	3.1401572821756373e-4
ASB1	ankyrin repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:16011]	ENSG00000065802	2	238426742	238452250	1	1612.4040041622554	-0.5083728147163695	0.10216558763340151	-4.975969174087779	6.492197927186526e-7	5.108803294587752e-4
TRIML2	tripartite motif family like 2 [Source:HGNC Symbol;Acc:HGNC:26378]	ENSG00000179046	4	188091273	188109603	-1	2840.3884764419668	-0.35750320769531585	0.07182959648124027	-4.977101713061759	6.454340959500358e-7	5.108803294587752e-4
SLC22A3	solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967]	ENSG00000146477	6	160348268	160452581	1	163.12230907510286	-0.8515284179694577	0.17171652188102984	-4.958919553235658	7.088631127912153e-7	5.423196625693236e-4
CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	ENSG00000000971	1	196651878	196747504	1	1316.9381268970756	0.697455762669196	0.14244198208941428	4.8964199489402365	9.759837949731463e-7	7.147839757994357e-4
MAFK	MAF bZIP transcription factor K [Source:HGNC Symbol;Acc:HGNC:6782]	ENSG00000198517	7	1530714	1543043	1	3768.3469764504343	-0.6633565064616692	0.1355345163805054	-4.894373213383768	9.861953046394073e-7	7.147839757994357e-4
MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	ENSG00000166482	17	19383442	19387240	-1	459.7795037146906	-1.177113229386534	0.24153715327309033	-4.873425116738247	1.0967985315211231e-6	7.745647475680711e-4
KLF5	Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	ENSG00000102554	13	73054976	73077542	1	1547.7944485393723	0.4441298187295176	0.09176860482949976	4.839670599271751	1.3005450910395015e-6	8.954903224352486e-4
CICP14	capicua transcriptional repressor pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:38542]	ENSG00000281490	7	128655962	128658791	-1	628.2171198743404	-0.6147129478039394	0.12727862400869847	-4.829663681482986	1.367638513331118e-6	9.187195105894062e-4
ELOA3	elongin A3 [Source:HGNC Symbol;Acc:HGNC:24617]	ENSG00000183791	18	47028202	47030078	-1	140.36101264394833	-0.9561290912178411	0.20047302008572082	-4.769365427871577	1.8480715056561403e-6	0.0012118948906852719
RGS11	regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]	ENSG00000076344	16	268301	275980	-1	13.644525131475335	3.350711565782321	0.7046259561163183	4.755305331427774	1.981467136961846e-6	0.0012605571849755286
SPOPL	speckle type BTB/POZ protein like [Source:HGNC Symbol;Acc:HGNC:27934]	ENSG00000144228	2	138501801	138573547	1	483.1794193319144	0.6530265302039665	0.13742045618764814	4.752032909221727	2.0138158499354898e-6	0.0012605571849755286
FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	ENSG00000054598	6	1609972	1613897	1	748.6747906740594	0.7637058408935135	0.1623807883747436	4.703178550476227	2.5614223238331326e-6	0.0015677043031780476
OPRL1	opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]	ENSG00000125510	20	64080173	64100643	1	105.30446575378205	-1.264445012163583	0.2699526729214567	-4.6839507032089145	2.8139771310185426e-6	0.0016146366279690145
NLRP6	NLR family pyrin domain containing 6 [Source:HGNC Symbol;Acc:HGNC:22944]	ENSG00000174885	11	278365	285359	1	23.91846179197254	1.89665088273064	0.40447693202420726	4.689144751071066	2.7434927387546087e-6	0.0016146366279690145
CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	ENSG00000239754	CHR_HSCHR6_MHC_COX_CTG1	31933196	31939630	1	285.52208239933145	-0.7842535185268871	0.16734824642064125	-4.686356357482302	2.7811185026703308e-6	0.0016146366279690145
SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	ENSG00000118515	6	134169246	134318112	-1	1876.0212800529591	-0.4194490226482723	0.08976438990327101	-4.6727775134467615	2.9715360729061146e-6	0.0016702458473465348
GDA	guanine deaminase [Source:HGNC Symbol;Acc:HGNC:4212]	ENSG00000119125	9	72114595	72257193	1	9208.630217768547	0.4854467965967801	0.10424648076717431	4.656721195998783	3.212850631359479e-6	0.0017697666417780555
MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	ENSG00000196132	20	64102394	64242253	1	45.9877141960739	-1.4712508215076885	0.3216333047448247	-4.574311179232324	4.777892768137658e-6	0.0025306292811547574
MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	ENSG00000276876	CHR_HSCHR20_1_CTG3	64155437	64245898	1	45.9870899431001	-1.4712393185768708	0.3216233136375241	-4.574417513262073	4.775467008536146e-6	0.0025306292811547574
NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	ENSG00000168743	4	105894775	106004027	1	145.61468400444204	-1.0221257081537398	0.22674865790267595	-4.507747554529968	6.551946491788897e-6	0.003339631652731758
ZSWIM9	zinc finger SWIM-type containing 9 [Source:HGNC Symbol;Acc:HGNC:34495]	ENSG00000185453	19	48170692	48197620	1	417.2423130447353	-0.5409729972130789	0.11995380241223401	-4.509844509588513	6.48751591999292e-6	0.003339631652731758
CASC15	cancer susceptibility 15 [Source:HGNC Symbol;Acc:HGNC:28245]	ENSG00000272168	6	21664772	22368328	1	1086.395256435961	-0.39565767041164457	0.0878461255676302	-4.503985438800475	6.669077804816161e-6	0.003339631652731758
COL8A1	collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]	ENSG00000144810	3	99638475	99799226	1	5700.889642304352	-0.38335992392631435	0.08592065902751349	-4.46178984501917	8.127791583191409e-6	0.0039272918558641715
NCKAP5	NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]	ENSG00000176771	2	132671799	133568463	-1	555.9117407646535	-0.8881141803830996	0.19891717416370114	-4.4647436005310235	8.016469396497177e-6	0.0039272918558641715
DDR2	discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]	ENSG00000162733	1	162631373	162787400	1	4790.394307065134	-0.460819672977921	0.10405036321939731	-4.428813689061816	9.475282961343225e-6	0.004499452471057157
TMTC1	transmembrane and tetratricopeptide repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:24099]	ENSG00000133687	12	29500840	29784759	-1	1803.018887104773	0.5624141547358578	0.12715976180874902	4.422894056547075	9.738750315063055e-6	0.004546180697923163
SVOPL	SVOP like [Source:HGNC Symbol;Acc:HGNC:27034]	ENSG00000157703	7	138594285	138701352	-1	471.03859308337303	-0.6908703289829062	0.15811787221264015	-4.369337376699641	1.2462410570726797e-5	0.005720661865649291
CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	ENSG00000129226	17	7579467	7582113	1	235.83051601560365	0.8656315355244859	0.20016775127151412	4.324530450213805	1.5285709031527044e-5	0.00690162292043144
PROSER2	proline and serine rich 2 [Source:HGNC Symbol;Acc:HGNC:23728]	ENSG00000148426	10	11823339	11872277	1	303.08634278067126	0.836031385128718	0.19414428024572208	4.306237526393156	1.6605475028360693e-5	0.007376580535985649
TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	ENSG00000105825	7	93885396	93890991	-1	266.2297828499768	-0.8261765660668259	0.19238823149580273	-4.294319666246583	1.7522984450763105e-5	0.007660603773697102
FOXF2	forkhead box F2 [Source:HGNC Symbol;Acc:HGNC:3810]	ENSG00000137273	6	1389576	1395603	1	50.00449572793815	7.712385069868126	1.7978280613879336	4.289834626295754	1.7880621304232958e-5	0.007694813624393502
FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	ENSG00000138685	4	122826708	122898236	1	1385.3893610494854	0.6020750253529185	0.14091776296034095	4.2725275558224896	1.932696608475805e-5	0.008163067486872736
NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	ENSG00000166833	11	19350724	20121598	1	4904.074691752797	-0.45907805396795415	0.10752226630842013	-4.2696091677524795	1.9581578966684817e-5	0.008163067486872736
IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	ENSG00000169047	2	226731317	226799759	-1	1161.7806390958428	-0.5076567787193508	0.11898718283310812	-4.266482881869655	1.9857872399261975e-5	0.008163067486872736
CARD14	caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]	ENSG00000141527	17	80169992	80209331	1	3495.6943510174656	-0.41786690784888614	0.09808244008299788	-4.260364113038837	2.0409413822470615e-5	0.00826641287497773
EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	ENSG00000134531	12	13196716	13219939	1	110.6222858782611	1.2510954495357736	0.29438460662117544	4.24986708338907	2.1389740332307247e-5	0.008537916351194292
TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	ENSG00000120708	5	136028895	136063818	1	9378.441174983594	-0.5775848326348731	0.13663344473169056	-4.227258075569172	2.3655629530189384e-5	0.009307476407435372
